Depth,Pressure,Permeability,Thickness,Inclination,WGR,GasFlow
700,1,50,50,30,70,8.0
700,1,50,50,30,100,7.4
700,1,50,50,60,0,10.3
700,1,50,50,60,5,7.9
700,1,50,50,60,10,7.3
700,1,50,50,60,40,6.5
700,1,50,50,60,70,5.3
700,1,50,50,60,100,4.6
700,1,100,1,0,0,1.1
700,1,100,1,0,5,0.0
700,1,100,1,0,10,0.0
700,1,100,1,0,40,0.0
700,1,100,1,0,70,0.0
700,1,100,1,0,100,0.0
700,1,100,1,30,0,1.1
700,1,100,1,30,5,0.0
700,1,100,1,30,10,0.0
700,1,100,1,30,40,0.0
700,1,100,1,30,70,0.0
700,1,100,1,30,100,0.0
700,1,100,1,60,0,1.1
700,1,100,1,60,5,0.0
700,1,100,1,60,10,0.0
700,1,100,1,60,40,0.0
700,1,100,1,60,70,0.0
700,1,100,1,60,100,0.0
700,1,100,5,0,0,5.0
700,1,100,5,0,5,0.0
700,1,100,5,0,10,0.0
700,1,100,5,0,40,0.0
700,1,100,5,0,70,0.0
700,1,100,5,0,100,0.0
700,1,100,5,30,0,4.9
700,1,100,5,30,5,0.0
700,1,100,5,30,10,0.0
700,1,100,5,30,40,0.0
700,1,100,5,30,70,0.0
700,1,100,5,30,100,0.0
700,1,100,5,60,0,4.7
700,1,100,5,60,5,0.0
700,1,100,5,60,10,0.0
700,1,100,5,60,40,0.0
700,1,100,5,60,70,0.0
700,1,100,5,60,100,0.0
700,1,100,10,0,0,8.5
700,1,100,10,0,5,6.3
700,1,100,10,0,10,6.1
700,1,100,10,0,40,5.6
700,1,100,10,0,70,5.3
700,1,100,10,0,100,5.1
700,1,100,10,30,0,8.3
700,1,100,10,30,5,6.0
700,1,100,10,30,10,5.8
700,1,100,10,30,40,5.3
700,1,100,10,30,70,5.1
700,1,100,10,30,100,4.8
700,1,100,10,60,0,7.4
700,1,100,10,60,5,5.0
700,1,100,10,60,10,4.7
700,1,100,10,60,40,0.0
700,1,100,10,60,70,0.0
700,1,100,10,60,100,0.0
700,1,100,20,0,0,12.2
700,1,100,20,0,5,10.4
700,1,100,20,0,10,9.8
700,1,100,20,0,40,8.6
700,1,100,20,0,70,8.0
700,1,100,20,0,100,7.5
700,1,100,20,30,0,11.7
700,1,100,20,30,5,9.8
700,1,100,20,30,10,9.2
700,1,100,20,30,40,8.0
700,1,100,20,30,70,7.4
700,1,100,20,30,100,7.0
700,1,100,20,60,0,9.7
700,1,100,20,60,5,7.3
700,1,100,20,60,10,6.8
700,1,100,20,60,40,5.9
700,1,100,20,60,70,5.4
700,1,100,20,60,100,5.1
700,1,100,50,0,0,15.5
700,1,100,50,0,5,13.5
700,1,100,50,0,10,12.8
700,1,100,50,0,40,11.0
700,1,100,50,0,70,9.8
700,1,100,50,0,100,9.0
700,1,100,50,30,0,14.6
700,1,100,50,30,5,12.7
700,1,100,50,30,10,12.0
700,1,100,50,30,40,9.9
700,1,100,50,30,70,8.9
700,1,100,50,30,100,8.2
700,1,100,50,60,0,11.6
700,1,100,50,60,5,8.8
700,1,100,50,60,10,8.1
700,1,100,50,60,40,7.0
700,1,100,50,60,70,6.5
700,1,100,50,60,100,6.1
700,1,500,1,0,0,4.3
700,1,500,1,0,5,0.0
700,1,500,1,0,10,0.0
700,1,500,1,0,40,0.0
700,1,500,1,0,70,0.0
700,1,500,1,0,100,0.0
700,1,500,1,30,0,4.3
700,1,500,1,30,5,0.0
700,1,500,1,30,10,0.0
700,1,500,1,30,40,0.0
700,1,500,1,30,70,0.0
700,1,500,1,30,100,0.0
700,1,500,1,60,0,4.1
700,1,500,1,60,5,0.0
700,1,500,1,60,10,0.0
700,1,500,1,60,40,0.0
700,1,500,1,60,70,0.0
700,1,500,1,60,100,0.0
700,1,500,5,0,0,12.8
700,1,500,5,0,5,11.2
700,1,500,5,0,10,10.4
700,1,500,5,0,40,9.2
700,1,500,5,0,70,8.5
700,1,500,5,0,100,7.9
700,1,500,5,30,0,12.2
700,1,500,5,30,5,10.4
700,1,500,5,30,10,9.7
700,1,500,5,30,40,8.5
700,1,500,5,30,70,7.8
700,1,500,5,30,100,7.3
700,1,500,5,60,0,10.1
700,1,500,5,60,5,7.7
700,1,500,5,60,10,7.2
700,1,500,5,60,40,6.2
700,1,500,5,60,70,5.7
700,1,500,5,60,100,5.3
700,1,500,10,0,0,15.4
700,1,500,10,0,5,13.6
700,1,500,10,0,10,12.5
700,1,500,10,0,40,10.8
700,1,500,10,0,70,10.0
700,1,500,10,0,100,9.4
700,1,500,10,30,0,14.5
700,1,500,10,30,5,12.5
700,1,500,10,30,10,11.5
700,1,500,10,30,40,10.0
700,1,500,10,30,70,9.3
700,1,500,10,30,100,8.5
700,1,500,10,60,0,11.4
700,1,500,10,60,5,9.2
700,1,500,10,60,10,8.3
700,1,500,10,60,40,6.8
700,1,500,10,60,70,6.2
700,1,500,10,60,100,5.7
700,1,500,20,0,0,16.8
700,1,500,20,0,5,14.3
700,1,500,20,0,10,13.1
700,1,500,20,0,40,11.2
700,1,500,20,0,70,10.3
700,1,500,20,0,100,9.6
700,1,500,20,30,0,15.8
700,1,500,20,30,5,13.0
700,1,500,20,30,10,12.0
700,1,500,20,30,40,10.3
700,1,500,20,30,70,9.5
700,1,500,20,30,100,8.9
700,1,500,20,60,0,11.9
700,1,500,20,60,5,9.4
700,1,500,20,60,10,8.8
700,1,500,20,60,40,0.0
700,1,500,20,60,70,0.0
700,1,500,20,60,100,0.0
700,1,500,50,0,0,17.6
700,1,500,50,0,5,15.4
700,1,500,50,0,10,14.0
700,1,500,50,0,40,11.8
700,1,500,50,0,70,10.7
700,1,500,50,0,100,9.9
700,1,500,50,30,0,16.5
700,1,500,50,30,5,13.9
700,1,500,50,30,10,12.7
700,1,500,50,30,40,10.8
700,1,500,50,30,70,9.9
700,1,500,50,30,100,9.2
700,1,500,50,60,0,12.4
700,1,500,50,60,5,9.8
700,1,500,50,60,10,9.1
700,1,500,50,60,40,8.0
700,1,500,50,60,70,0.0
700,1,500,50,60,100,0.0
700,1,1000,1,0,0,7.1
700,1,1000,1,0,5,5.1
700,1,1000,1,0,10,5.0
700,1,1000,1,0,40,4.7
700,1,1000,1,0,70,4.4
700,1,1000,1,0,100,4.1
700,1,1000,1,30,0,7.0
700,1,1000,1,30,5,5.0
700,1,1000,1,30,10,4.8
700,1,1000,1,30,40,4.4
700,1,1000,1,30,70,4.0
700,1,1000,1,30,100,0.0
700,1,1000,1,60,0,6.4
700,1,1000,1,60,5,0.0
700,1,1000,1,60,10,0.0
700,1,1000,1,60,40,0.0
700,1,1000,1,60,70,0.0
700,1,1000,1,60,100,0.0
700,1,1000,5,0,0,15.3
700,1,1000,5,0,5,13.3
700,1,1000,5,0,10,12.5
700,1,1000,5,0,40,11.0
700,1,1000,5,0,70,9.9
700,1,1000,5,0,100,9.2
700,1,1000,5,30,0,14.4
700,1,1000,5,30,5,12.5
700,1,1000,5,30,10,11.8
700,1,1000,5,30,40,10.0
700,1,1000,5,30,70,9.1
700,1,1000,5,30,100,8.4
700,1,1000,5,60,0,11.5
700,1,1000,5,60,5,9.0
700,1,1000,5,60,10,8.3
700,1,1000,5,60,40,6.9
700,1,1000,5,60,70,6.0
700,1,1000,5,60,100,5.5
700,1,1000,10,0,0,16.7
700,1,1000,10,0,5,14.4
700,1,1000,10,0,10,13.2
700,1,1000,10,0,40,11.2
700,1,1000,10,0,70,10.2
700,1,1000,10,0,100,9.5
700,1,1000,10,30,0,15.8
700,1,1000,10,30,5,13.1
700,1,1000,10,30,10,12.0
700,1,1000,10,30,40,10.3
700,1,1000,10,30,70,9.5
700,1,1000,10,30,100,8.8
700,1,1000,10,60,0,11.9
700,1,1000,10,60,5,9.4
700,1,1000,10,60,10,8.7
700,1,1000,10,60,40,0.0
700,1,1000,10,60,70,0.0
700,1,1000,10,60,100,0.0
700,1,1000,20,0,0,17.5
700,1,1000,20,0,5,15.2
700,1,1000,20,0,10,13.8
700,1,1000,20,0,40,11.7
700,1,1000,20,0,70,10.6
700,1,1000,20,0,100,9.9
700,1,1000,20,30,0,16.4
700,1,1000,20,30,5,13.7
700,1,1000,20,30,10,12.5
700,1,1000,20,30,40,10.7
700,1,1000,20,30,70,9.8
700,1,1000,20,30,100,9.2
700,1,1000,20,60,0,12.3
700,1,1000,20,60,5,9.7
700,1,1000,20,60,10,9.1
700,1,1000,20,60,40,0.0
700,1,1000,20,60,70,0.0
700,1,1000,20,60,100,0.0
700,1,1000,50,0,0,17.9
700,1,1000,50,0,5,15.8
700,1,1000,50,0,10,14.3
700,1,1000,50,0,40,11.9
700,1,1000,50,0,70,10.8
700,1,1000,50,0,100,10.1
700,1,1000,50,30,0,16.8
700,1,1000,50,30,5,14.2
700,1,1000,50,30,10,12.9
700,1,1000,50,30,40,10.9
700,1,1000,50,30,70,10.0
700,1,1000,50,30,100,9.3
700,1,1000,50,60,0,12.5
700,1,1000,50,60,5,9.9
700,1,1000,50,60,10,9.2
700,1,1000,50,60,40,8.1
700,1,1000,50,60,70,0.0
700,1,1000,50,60,100,0.0
700,1,3000,1,0,0,12.3
700,1,3000,1,0,5,10.8
700,1,3000,1,0,10,10.2
700,1,3000,1,0,40,9.0
700,1,3000,1,0,70,8.4
700,1,3000,1,0,100,7.9
700,1,3000,1,30,0,11.8
700,1,3000,1,30,5,10.2
700,1,3000,1,30,10,9.5
700,1,3000,1,30,40,8.4
700,1,3000,1,30,70,7.8
700,1,3000,1,30,100,7.3
700,1,3000,1,60,0,9.9
700,1,3000,1,60,5,7.7
700,1,3000,1,60,10,7.2
700,1,3000,1,60,40,6.3
700,1,3000,1,60,70,5.8
700,1,3000,1,60,100,5.5
700,1,3000,5,0,0,17.2
700,1,3000,5,0,5,14.8
700,1,3000,5,0,10,13.5
700,1,3000,5,0,40,11.5
